date,steps,calories_burned,sleep_hours,heart_rate,weight_kg,mood
2025-10-01,9250,2180,7.2,72,78.0,Good
2025-10-02,10480,2350,6.8,70,78.0,Happy
2025-10-03,8120,1980,7.5,73,77.9,Good
2025-10-04,5400,1680,8.1,68,77.9,Happy
2025-10-05,4800,1620,8.5,66,77.9,Good
2025-10-06,11200,2520,6.5,74,77.8,Good
2025-10-07,9870,2240,7.0,71,77.8,Okay
2025-10-08,10150,2310,6.9,72,77.8,Good
2025-10-09,7640,1890,7.8,69,77.7,Tired
2025-10-10,8530,2050,7.3,71,77.7,Good
2025-10-11,4200,1580,8.2,65,77.7,Happy
2025-10-12,5100,1650,8.0,67,77.6,Good
2025-10-13,10800,2440,6.3,75,77.6,Stressed
2025-10-14,9450,2200,7.1,73,77.5,Okay
2025-10-15,11500,2560,6.6,74,77.5,Happy
2025-10-16,8900,2100,7.4,70,77.5,Good
2025-10-17,7200,1850,5.8,76,77.4,Tired
2025-10-18,4600,1610,8.3,64,77.4,Good
2025-10-19,3800,1520,8.7,63,77.4,Happy
2025-10-20,10300,2380,6.7,73,77.3,Good
2025-10-21,9680,2220,7.0,72,77.3,Good
2025-10-22,11800,2600,6.2,76,77.2,Happy
2025-10-23,8450,2040,7.5,70,77.2,Okay
2025-10-24,7800,1910,7.1,71,77.2,Good
2025-10-25,5200,1660,8.0,66,77.1,Good
2025-10-26,4500,1590,8.4,65,77.1,Happy
2025-10-27,9950,2280,6.8,73,77.0,Good
2025-10-28,10600,2420,6.5,74,77.0,Happy
2025-10-29,8200,1990,7.3,71,77.0,Okay
2025-10-30,7500,1870,7.6,69,76.9,Tired
2025-10-31,9100,2150,7.0,72,76.9,Good
2025-11-01,5300,1670,8.1,66,76.9,Happy
2025-11-02,4100,1560,8.6,64,76.8,Good
2025-11-03,10400,2390,6.6,74,76.8,Good
2025-11-04,9200,2170,7.2,72,76.7,Good
2025-11-05,11100,2500,6.4,75,76.7,Happy
2025-11-06,8700,2080,7.0,71,76.7,Okay
2025-11-07,7300,1860,5.5,77,76.6,Stressed
2025-11-08,4900,1640,8.3,65,76.6,Tired
2025-11-09,3500,1500,8.8,62,76.6,Good
2025-11-10,10700,2450,6.5,74,76.5,Good
2025-11-11,9550,2230,7.1,72,76.5,Happy
2025-11-12,8100,1970,7.4,70,76.4,Good
2025-11-13,12300,2680,6.1,76,76.4,Happy
2025-11-14,7900,1930,7.6,69,76.4,Okay
2025-11-15,5600,1700,7.9,67,76.3,Good
2025-11-16,4300,1570,8.5,64,76.3,Good
2025-11-17,10100,2340,6.7,73,76.2,Good
2025-11-18,9800,2260,6.9,72,76.2,Happy
2025-11-19,11400,2540,6.3,75,76.2,Happy
2025-11-20,8300,2010,7.3,71,76.1,Okay
2025-11-21,7600,1880,5.2,78,76.1,Stressed
2025-11-22,5100,1650,8.2,66,76.0,Tired
2025-11-23,4700,1610,8.4,65,76.0,Good
2025-11-24,9400,2190,7.0,72,76.0,Good
2025-11-25,10900,2470,6.4,74,75.9,Happy
2025-11-26,8600,2070,7.5,70,75.9,Good
2025-11-27,3200,1480,8.9,61,75.9,Happy
2025-11-28,4000,1540,8.6,63,75.8,Good
2025-11-29,5500,1690,7.8,67,75.8,Good
2025-11-30,9700,2250,6.8,73,75.8,Good
2025-12-01,10200,2360,6.6,74,75.7,Good
2025-12-02,11600,2570,6.2,76,75.7,Happy
2025-12-03,8800,2090,7.1,71,75.6,Good
2025-12-04,7400,1870,7.7,69,75.6,Okay
2025-12-05,9100,2140,7.0,72,75.6,Good
2025-12-06,5800,1720,7.9,67,75.5,Good
2025-12-07,4400,1580,8.3,65,75.5,Happy
2025-12-08,10500,2410,6.5,74,75.4,Good
2025-12-09,9300,2180,7.2,72,75.4,Good
2025-12-10,8000,1960,7.4,70,75.4,Okay
2025-12-11,12100,2650,6.0,77,75.3,Happy
2025-12-12,7700,1900,5.6,76,75.3,Stressed
2025-12-13,5000,1640,8.4,65,75.3,Tired
2025-12-14,4600,1610,8.1,66,75.2,Good
2025-12-15,10800,2440,6.4,74,75.2,Happy
2025-12-16,9600,2240,7.0,73,75.1,Good
2025-12-17,11300,2530,6.3,75,75.1,Happy
2025-12-18,8500,2060,7.3,71,75.1,Good
2025-12-19,7100,1840,7.8,68,75.0,Okay
2025-12-20,5400,1680,8.0,66,75.0,Good
2025-12-21,3900,1530,8.7,63,75.0,Good
2025-12-22,9900,2270,6.7,73,74.9,Good
2025-12-23,10000,2300,6.9,72,74.9,Happy
2025-12-24,6500,1780,7.5,69,74.9,Happy
2025-12-25,3400,1490,9.0,60,74.9,Happy
2025-12-26,4200,1560,8.5,64,74.8,Good
2025-12-27,7800,1920,7.2,70,74.8,Good
2025-12-28,5200,1660,8.0,67,74.8,Good
2025-12-29,10600,2430,6.5,74,74.7,Happy
2025-12-30,9500,2220,6.8,73,74.7,Good
2025-12-31,8200,2000,7.0,71,74.7,Happy
